key	value
api_the_amount_of_the_charge_is_not_formatted_correctly	充值金额格式不正确
menu_home_page	首页
menu_overview	概览
menu_service_management	服务管理
menu_list_of_services	服务列表
menu_asset_management	资产管理
menu_list_of_accounts	账号列表
menu_order_management	订单管理
menu_lease_order_management	租赁订单管理
menu_charge_order_management	充值订单管理
menu_worksheet_management	工单管理
menu_list_of_work_orders	工单列表
menu_financial_management	财务管理
menu_management_of_funds	资金管理
menu_my_money	我的资金
menu_account_information	账户信息
menu_the_personal_center	个人中心
menu_user_protocol	用户协议
menu_the_news_center	消息中心
service_type_recharge	充值
service_type_lease	租赁
facebook	Facebook
tiktok	TIKTOK
account_attr_et	ET
account_attr_bm	MB
capital_flow_type_recharge	充值
capital_flow_type_clear	清零
account_tipinfo_unrestricted_advertising_budget	不限制广告预算
account_tipinfo_unrestricted_domain_name	不限制广告预算
account_tipinfo_unrestricted_homepage	不限制主页
work_work-order_picture_upload_limit	图片上传张数限制
work_work-order_unit	单位
work_work-order_reset_amount	清零金额
work_work-order_voucher	凭证
work_work-order_notes	备注
work_work-order_account_reset	账号清零
work_work-order_business_account_adjustment	商业号调整
work_work-order_please_enter_the_actual_cleaning_a	请输入实际清理金额
work_work-order_please_upload_the_voucher	请上传凭证
work_work-order_before_monitoring_and_uploading_fi	监听上传文件前
work_work-order_the_size_of_a_single_image_cannot_	单张图片大小不能超过
work_work-order_see_you_when_i_upload_it	上传我呢见
work_work-order_delete_file	删除文件
work_work-order_submit	提交
work_work-order_end_by_amount	结束按金额
work_work-order_work_order	工单
work_work-order_processing_successful	处理成功
work_work-order_open	打开
work_work-order_initialized_data	初始化数据
work_work-order_close	关闭
work_work-order_service_type	服务类型
work_work-order_work_order_details	工单详情
work_work-order_work_order_information	工单信息
work_work-order_work_order_number	工单编号
work_work-order_state	状态
work_work-order_work_order_attachment	工单附件
work_work-order_view	查看
work_work-order_adjustment_type	调整类型
work_work-order_creation_time	创建时间
work_work-order_closing_time	关闭时间
work_work-order_account_information	账户信息
work_work-order_account_name	账号名称
work_work-order_account_number	账号
work_work-order_platform_to_which_it_belongs	所属平台
work_work-order_account_password	账号密码
work_work-order_account_type	账号类型
